comb	counts	status
SRP356530/LEAVES_D-LEAVES_C	8976	Upregulated
SRP098756/CROWN_D-CROWN_C	773	Upregulated
SRP098756/LEAVES_D-CROWN_C	1127	Upregulated
SRP098756/ROOTS_C-CROWN_C	8462	Upregulated
SRP098756/ROOTS_D-CROWN_C	10377	Upregulated
SRP098756/LEAVES_C-CROWN_D	284	Upregulated
SRP098756/ROOTS_C-CROWN_D	7544	Upregulated
SRP098756/ROOTS_D-CROWN_D	7882	Upregulated
SRP098756/LEAVES_D-LEAVES_C	206	Upregulated
SRP098756/ROOTS_C-LEAVES_C	7644	Upregulated
SRP098756/ROOTS_D-LEAVES_C	8872	Upregulated
SRP098756/ROOTS_C-LEAVES_D	8082	Upregulated
SRP098756/ROOTS_D-LEAVES_D	8382	Upregulated
SRP098756/ROOTS_D-ROOTS_C	1718	Upregulated
SRP072216/LEAVES_D-LEAVES_C	5183	Upregulated
SRP072216/LEAVES_TABA-LEAVES_C	6202	Upregulated
SRP072216/LEAVES_D-LEAVES_TABA	4673	Upregulated
SRP356530/LEAVES_D-LEAVES_C	7419	Downregulated
SRP098756/CROWN_D-CROWN_C	693	Downregulated
SRP098756/LEAVES_D-CROWN_C	918	Downregulated
SRP098756/ROOTS_C-CROWN_C	9647	Downregulated
SRP098756/ROOTS_D-CROWN_C	12319	Downregulated
SRP098756/LEAVES_C-CROWN_D	300	Downregulated
SRP098756/ROOTS_C-CROWN_D	8565	Downregulated
SRP098756/ROOTS_D-CROWN_D	8639	Downregulated
SRP098756/LEAVES_D-LEAVES_C	183	Downregulated
SRP098756/ROOTS_C-LEAVES_C	10359	Downregulated
SRP098756/ROOTS_D-LEAVES_C	11537	Downregulated
SRP098756/ROOTS_C-LEAVES_D	10088	Downregulated
SRP098756/ROOTS_D-LEAVES_D	9355	Downregulated
SRP098756/ROOTS_D-ROOTS_C	1056	Downregulated
SRP072216/LEAVES_D-LEAVES_C	5966	Downregulated
SRP072216/LEAVES_TABA-LEAVES_C	7280	Downregulated
SRP072216/LEAVES_D-LEAVES_TABA	5206	Downregulated
