SRP356530/LEAVES_D-LEAVES_C	SRP098756/CROWN_D-CROWN_C	SRP098756/LEAVES_D-LEAVES_C	SRP098756/ROOTS_D-ROOTS_C	SRP072216/LEAVES_D-LEAVES_C	SRP072216/LEAVES_D-LEAVES_TABA
TraesCS1A02G000100				2.29995191205291		
TraesCS1A02G000200				2.43463636871616		
TraesCS1A02G000400				2.39939662725272		
TraesCS1A02G000900				2.56635848423233		
TraesCS1A02G001000				2.21611358715551		
TraesCS1A02G001100				2.36186085053628		
TraesCS1A02G001400				2.44878497734404		
TraesCS1A02G001500				2.43798551741355		
TraesCS1A02G001800					0.267189591050115	-0.266803246250644
TraesCS1A02G001900					-0.212467012939035	
TraesCS1A02G002200					-0.665343987352464	
TraesCS1A02G002300	0.479182352729138					
TraesCS1A02G002500					-0.622089046912269	
TraesCS1A02G002700	-0.517768365101912					
TraesCS1A02G004100	3.29467032724033					
TraesCS1A02G004900	-0.969600449990093					
TraesCS1A02G005700					0.467276857039232	0.455558974516011
TraesCS1A02G005800						-0.344926117041252
TraesCS1A02G006300					-1.97706291652461	-1.52891581486556
TraesCS1A02G006800	1.85711108052829				-2.11089430314667	-0.883636709056022
TraesCS1A02G007500	0.942647392483236				0.216616895700311	-0.334534902117383
TraesCS1A02G008200	3.52804927552306					
TraesCS1A02G009000					-0.318129756800978	
TraesCS1A02G009100					-0.88987665368069	-0.661476227023732
TraesCS1A02G009400	2.94811846880089					
TraesCS1A02G009900	2.0545206711585					
TraesCS1A02G010200	-2.56162938906311					
TraesCS1A02G010300	1.30888070555385					
TraesCS1A02G011100		-2.18597683666848				
TraesCS1A02G011900		6.93990995451139				-0.592506951533391
TraesCS1A02G013800	0.569110204517102				-0.70285010171904	
TraesCS1A02G014300					-1.56504978943777	-1.77815159385072
TraesCS1A02G015100	1.10191193371236					
TraesCS1A02G015200	-0.395117402549165					
TraesCS1A02G015300					-0.399257034118578	
TraesCS1A02G015400	-0.570345490560148					
TraesCS1A02G015900	1.762369692343				-2.18740825869563	
TraesCS1A02G016900	-0.525681112497704					
TraesCS1A02G017900	0.678149300352296					
TraesCS1A02G018000	1.30026852370725					
TraesCS1A02G018500	0.744955319731026				-0.925744548712272	-0.887709539487821
