GO.ID	Term	Annotated	Significant	Expected	p_val	FDR	status_name	DAG_level	study	comparison	genelist	comb
GO:0009657	plastid organization	566	187	72.58	1.69782706584587e-36	8.65042890048472e-33	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0015979	photosynthesis	618	196	79.25	2.00421755829577e-35	5.10574422975847e-32	significant	4	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0016070	RNA metabolic process	4329	805	555.11	3.79370437656362e-33	6.44297459953055e-30	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0090304	nucleic acid metabolic process	4886	886	626.53	7.28634323803124e-33	9.28097969944229e-30	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0019684	photosynthesis, light reaction	396	141	50.78	1.33572687258136e-31	1.36110568316041e-28	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0006725	cellular aromatic compound metabolic pro...	6430	1101	824.52	1.83821641444387e-31	1.56095210526525e-28	significant	4	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0046483	heterocycle metabolic process	6263	1076	803.1	3.71109328143059e-31	2.70114575269841e-28	significant	4	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:1901360	organic cyclic compound metabolic proces...	6629	1121	850.03	7.7534591620827e-30	4.93798430385142e-27	significant	4	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0006351	transcription, DNA-templated	2561	512	328.4	2.23523969784008e-27	1.26539402894391e-24	significant	10	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0097659	nucleic acid-templated transcription	2594	513	332.63	2.74575502529849e-26	1.39896218538958e-23	significant	9	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0032774	RNA biosynthetic process	2602	514	333.65	3.1854255119755e-26	1.47543118031956e-23	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0006139	nucleobase-containing compound metabolic...	5606	954	718.85	2.66331594645229e-25	1.13079956226454e-22	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0019438	aromatic compound biosynthetic process	3677	671	471.5	1.22181759356641e-24	4.78858510709296e-22	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009658	chloroplast organization	433	136	55.52	1.94620403365956e-24	7.08279253678246e-22	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:1901362	organic cyclic compound biosynthetic pro...	3890	700	498.81	4.40176660531583e-24	1.49513339027228e-21	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0034641	cellular nitrogen compound metabolic pro...	7367	1190	944.67	1.27208140729803e-23	4.05078423136465e-21	significant	4	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0006355	regulation of transcription, DNA-templat...	2299	456	294.8	1.58411838243879e-23	4.74769597560331e-21	significant	11	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0018130	heterocycle biosynthetic process	3621	657	464.32	2.09704538766753e-23	5.65719071927563e-21	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0051252	regulation of RNA metabolic process	2442	476	313.14	6.2000960231084e-23	1.57947446188687e-20	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:1903506	regulation of nucleic acid-templated tra...	2331	458	298.9	9.18502541504007e-23	2.12716838589223e-20	significant	10	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:2001141	regulation of RNA biosynthetic process	2331	458	298.9	9.18502541504007e-23	2.12716838589223e-20	significant	9	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0044271	cellular nitrogen compound biosynthetic ...	4850	829	621.91	5.48043474489066e-22	1.21403543587904e-19	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0019219	regulation of nucleobase-containing comp...	2509	480	321.73	2.14260995490073e-21	4.54858238342467e-19	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0031326	regulation of cellular biosynthetic proc...	2946	539	377.76	1.00396491232878e-19	1.89451897345006e-17	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009889	regulation of biosynthetic process	3023	548	387.64	3.43853399368888e-19	6.25690382065887e-17	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0032544	plastid translation	36	27	4.62	2.17147533076359e-17	3.56892477749693e-15	significant	9	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0031323	regulation of cellular metabolic process	3744	639	480.09	2.49755631635922e-16	3.85607558540916e-14	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0007623	circadian rhythm	310	94	39.75	3.33421833560847e-16	4.85366926283575e-14	significant	3	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009416	response to light stimulus	1640	322	210.3	5.44111274117856e-16	7.70068594897354e-14	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009314	response to radiation	1667	325	213.76	1.08299715192796e-15	1.49131634839809e-13	significant	4	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009058	biosynthetic process	7449	1141	955.18	2.3532322322011e-14	2.99742955576615e-12	significant	3	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0019222	regulation of metabolic process	4292	699	550.36	2.48422467580936e-13	2.94351737749969e-11	significant	4	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0042793	plastid transcription	33	22	4.23	1.03526735988101e-12	1.17215271079861e-10	significant	11	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0015995	chlorophyll biosynthetic process	173	58	22.18	1.5360653750354e-12	1.66516023102241e-10	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0006779	porphyrin-containing compound biosynthet...	229	68	29.36	1.16543516441372e-11	1.21181472707916e-09	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0033014	tetrapyrrole biosynthetic process	238	69	30.52	2.75460483216356e-11	2.75190423919085e-09	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009735	response to cytokinin	718	154	92.07	4.96891642543877e-11	4.86858253607895e-09	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009765	photosynthesis, light harvesting	134	46	17.18	1.22540061956442e-10	1.17800304843032e-08	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0010207	photosystem II assembly	68	30	8.72	1.8990471072816e-10	1.79178611325921e-08	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009767	photosynthetic electron transport chain	156	50	20	3.1661877742231e-10	2.9330412199394e-08	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0045038	protein import into chloroplast thylakoi...	21	15	2.69	1.02373645323334e-09	9.31417362361401e-08	significant	12	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0006396	RNA processing	1318	242	169.01	2.53802408203226e-09	2.22952287895765e-07	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009628	response to abiotic stimulus	4512	699	578.57	3.91897769841443e-09	3.32786522890359e-07	significant	3	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0045935	positive regulation of nucleobase-contai...	449	102	57.58	4.08033013369641e-09	3.40807902150544e-07	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0048564	photosystem I assembly	35	19	4.49	5.55790267544298e-09	4.56734098893258e-07	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0071214	cellular response to abiotic stimulus	458	103	58.73	6.04782783215396e-09	4.77875553250936e-07	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0010027	thylakoid membrane organization	103	36	13.21	7.0936588728145e-09	5.47608969045301e-07	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
